IBEA,0,bash,2449744,,IBEA,Bash,2412699.4,2412699.35,,,,,,,,
IBEA,1,bash,2454478,,IBEA,Flex,83875.3,83875.3,,,,,,,,
IBEA,2,bash,2476427,,IBEA,Grep,222938.2,222938.15,,,,,,,,
IBEA,3,bash,2471985,,IBEA,Print,39686.6,39686.6,,,,,,,,
IBEA,4,bash,2468718,,IBEA,Print2,38200.0,38199.95,,,,,,,,
IBEA,5,bash,2450346,,IBEA,Sed,36505.4,36505.4,,,,,,,,
IBEA,6,bash,2453469,,MoCell,Bash,2443904.3,2443904.3,,,,,,,,
IBEA,7,bash,2464192,,MoCell,Flex,76785.7,76785.65,, ,Bash,Flex,Grep,Printtokens,Printtokens2,Sed
IBEA,8,bash,1935838,,MoCell,Grep,218515.1,218515.05,,IBEA,2412699.35,83875.3,222938.15,39686.6,38199.95,36505.4
IBEA,9,bash,2455195,,MoCell,Print,32712.0,32711.95,,MoCell,2443904.3,76785.65,218515.05,32711.95,31979.15,29725.0
IBEA,10,bash,1943551,,MoCell,Print2,31979.2,31979.15,,NSGA-II,2389893.0,74192.55,213061.35,29395.85,28233.9,29005.25
IBEA,11,bash,2467787,,MoCell,Sed,29725.0,29725,,,,,,,,
IBEA,12,bash,2484429,,NSGA-II,Bash,2389893.0,2389893,,,,,,,,
IBEA,13,bash,2471247,,NSGA-II,Flex,74192.6,74192.55,, ,Bash,Flex,Grep,Printtokens,Printtokens2,Sed
IBEA,14,bash,2467673,,NSGA-II,Grep,213061.4,213061.35,,IBEA,2341201.77,84802.90,241259.33,41569.93,39020.80,38770.93
IBEA,15,bash,2457539,,NSGA-II,Print,29395.9,29395.85,,MoCell,2391202.27,77985.90,239448.97,34303.67,32308.13,30649.57
IBEA,16,bash,2460751,,NSGA-II,Print2,28233.9,28233.9,,NSGA-II,2370850.00,76446.40,235666.50,30721.70,28322.97,29955.30
IBEA,17,bash,2480853,,NSGA-II,Sed,29005.3,29005.25,,,,,,,,
IBEA,18,bash,2475212,,,,,,,,,,,,,
IBEA,19,bash,2464553,,,,,,,,,,,,,
IBEA,0,flex,69521,,,,,,,,,,,,,
IBEA,1,flex,84496,,,,,,,,,,,,,
IBEA,2,flex,82857,,,,,,,,,,,,,
IBEA,3,flex,82760,,,,,,,,,,,,,
IBEA,4,flex,83733,,,,,,,,,,,,,
IBEA,5,flex,86900,,,,,,,,,,,,,
IBEA,6,flex,89083,,,,,,,,,,,,,
IBEA,7,flex,89009,,,,,,,,,,,,,
IBEA,8,flex,88444,,,,,,,,,,,,,
IBEA,9,flex,88401,,,,,,,,,,,,,
IBEA,10,flex,69093,,,,,,,,,,,,,
IBEA,11,flex,83239,,,,,,,,,,,,,
IBEA,12,flex,82392,,,,,,,,,,,,,
IBEA,13,flex,82109,,,,,,,,,,,,,
IBEA,14,flex,88861,,,,,,,,,,,,,
IBEA,15,flex,87126,,,,,,,,,,,,,
IBEA,16,flex,89116,,,,,,,,,,,,,
IBEA,17,flex,82100,,,,,,,,,,,,,
IBEA,18,flex,83023,,,,,,,,,,,,,
IBEA,19,flex,85243,,,,,,,,,,,,,
IBEA,0,grep,169886,,,,,,,,,,,,,
IBEA,1,grep,228685,,,,,,,,,,,,,
IBEA,2,grep,221459,,,,,,,,,,,,,
IBEA,3,grep,220175,,,,,,,,,,,,,
IBEA,4,grep,232773,,,,,,,,,,,,,
IBEA,5,grep,229554,,,,,,,,,,,,,
IBEA,6,grep,233851,,,,,,,,,,,,,
IBEA,7,grep,230259,,,,,,,,,,,,,
IBEA,8,grep,241026,,,,,,,,,,,,,
IBEA,9,grep,233643,,,,,,,,,,,,,
IBEA,10,grep,168507,,,,,,,,,,,,,
IBEA,11,grep,231628,,,,,,,,,,,,,
IBEA,12,grep,220598,,,,,,,,,,,,,
IBEA,13,grep,220691,,,,,,,,,,,,,
IBEA,14,grep,236366,,,,,,,,,,,,,
IBEA,15,grep,224645,,,,,,,,,,,,,
IBEA,16,grep,236693,,,,,,,,,,,,,
IBEA,17,grep,222878,,,,,,,,,,,,,
IBEA,18,grep,220283,,,,,,,,,,,,,
IBEA,19,grep,235163,,,,,,,,,,,,,
IBEA,0,printtokens,36149,,,,,,,,,,,,,
IBEA,1,printtokens,40149,,,,,,,,,,,,,
IBEA,2,printtokens,39971,,,,,,,,,,,,,
IBEA,3,printtokens,39887,,,,,,,,,,,,,
IBEA,4,printtokens,41601,,,,,,,,,,,,,
IBEA,5,printtokens,39432,,,,,,,,,,,,,
IBEA,6,printtokens,39366,,,,,,,,,,,,,
IBEA,7,printtokens,40020,,,,,,,,,,,,,
IBEA,8,printtokens,40340,,,,,,,,,,,,,
IBEA,9,printtokens,40208,,,,,,,,,,,,,
IBEA,10,printtokens,36043,,,,,,,,,,,,,
IBEA,11,printtokens,40222,,,,,,,,,,,,,
IBEA,12,printtokens,40328,,,,,,,,,,,,,
IBEA,13,printtokens,39814,,,,,,,,,,,,,
IBEA,14,printtokens,40620,,,,,,,,,,,,,
