Run id,Trial,CrossOver,Mutation,Population Size,Evaluation,Time,Solution
6,6,0.5,0.1,100,5000000,6502,38797.0
6,7,0.5,0.1,100,5000000,6385,39079.0
6,8,0.5,0.1,100,5000000,6414,38717.0
6,9,0.5,0.1,100,5000000,6534,45674.0
6,10,0.5,0.1,100,5000000,6588,45574.0
6,11,0.5,0.1,100,5000000,6630,38226.0
6,12,0.5,0.1,100,5000000,6566,43127.0
6,13,0.5,0.1,100,5000000,6436,41399.0
6,14,0.5,0.1,100,5000000,6520,37265.0
6,15,0.5,0.1,100,5000000,6537,38272.0
6,16,0.5,0.1,100,5000000,6580,42522.0
6,17,0.5,0.1,100,5000000,6511,37649.0
6,18,0.5,0.1,100,5000000,6521,42693.0
6,19,0.5,0.1,100,5000000,6354,42852.0
7,0,0.5,0.1,150,5000100,7176,47788.0
7,1,0.5,0.1,150,5000100,7186,47264.0
7,2,0.5,0.1,150,5000100,7275,45219.0
7,3,0.5,0.1,150,5000100,7243,44836.0
7,4,0.5,0.1,150,5000100,7169,45505.0
7,5,0.5,0.1,150,5000100,7210,48629.0
7,6,0.5,0.1,150,5000100,7163,45861.0
7,7,0.5,0.1,150,5000100,7141,39627.0
7,8,0.5,0.1,150,5000100,7255,44066.0
7,9,0.5,0.1,150,5000100,7223,45750.0
7,10,0.5,0.1,150,5000100,7193,57930.0
7,11,0.5,0.1,150,5000100,7239,48259.0
7,12,0.5,0.1,150,5000100,7122,46536.0
7,13,0.5,0.1,150,5000100,7189,47882.0
7,14,0.5,0.1,150,5000100,7345,47698.0
7,15,0.5,0.1,150,5000100,7208,48179.0
7,16,0.5,0.1,150,5000100,7153,44342.0
7,17,0.5,0.1,150,5000100,7108,43322.0
7,18,0.5,0.1,150,5000100,7072,48352.0
7,19,0.5,0.1,150,5000100,7201,44791.0
8,0,0.5,0.1,200,5000000,7580,49988.0
8,1,0.5,0.1,200,5000000,7460,56520.0
8,2,0.5,0.1,200,5000000,7417,48798.0
8,3,0.5,0.1,200,5000000,7529,58301.0
8,4,0.5,0.1,200,5000000,7368,48577.0
8,5,0.5,0.1,200,5000000,7341,52471.0
8,6,0.5,0.1,200,5000000,7650,47443.0
8,7,0.5,0.1,200,5000000,7640,53920.0
8,8,0.5,0.1,200,5000000,7435,51786.0
8,9,0.5,0.1,200,5000000,7519,43351.0
8,10,0.5,0.1,200,5000000,7449,48849.0
8,11,0.5,0.1,200,5000000,7562,56293.0
8,12,0.5,0.1,200,5000000,7542,50376.0
8,13,0.5,0.1,200,5000000,7692,49098.0
8,14,0.5,0.1,200,5000000,7463,48505.0
8,15,0.5,0.1,200,5000000,7533,53633.0
8,16,0.5,0.1,200,5000000,7523,52481.0
8,17,0.5,0.1,200,5000000,7542,46094.0
8,18,0.5,0.1,200,5000000,7645,48276.0
8,19,0.5,0.1,200,5000000,7427,51337.0
9,0,0.5,0.2,50,5000000,6716,33630.0
9,1,0.5,0.2,50,5000000,6555,41701.0
9,2,0.5,0.2,50,5000000,6469,37936.0
9,3,0.5,0.2,50,5000000,6563,42113.0
9,4,0.5,0.2,50,5000000,6688,40911.0
9,5,0.5,0.2,50,5000000,6609,39078.0
9,6,0.5,0.2,50,5000000,6586,45216.0
9,7,0.5,0.2,50,5000000,6602,39353.0
9,8,0.5,0.2,50,5000000,6587,41402.0
9,9,0.5,0.2,50,5000000,6560,36932.0
9,10,0.5,0.2,50,5000000,6783,37813.0
9,11,0.5,0.2,50,5000000,6625,39077.0
9,12,0.5,0.2,50,5000000,6409,39212.0
9,13,0.5,0.2,50,5000000,6544,39770.0
9,14,0.5,0.2,50,5000000,6727,43337.0
9,15,0.5,0.2,50,5000000,6506,39075.0
9,16,0.5,0.2,50,5000000,6725,39836.0
9,17,0.5,0.2,50,5000000,6523,39532.0
9,18,0.5,0.2,50,5000000,6502,38821.0
9,19,0.5,0.2,50,5000000,6605,33534.0
10,0,0.5,0.2,100,5000000,6915,37664.0
10,1,0.5,0.2,100,5000000,6973,39677.0
10,2,0.5,0.2,100,5000000,7060,44666.0
10,3,0.5,0.2,100,5000000,7065,48343.0
10,4,0.5,0.2,100,5000000,6849,41667.0
10,5,0.5,0.2,100,5000000,6903,41454.0
10,6,0.5,0.2,100,5000000,6816,44102.0
10,7,0.5,0.2,100,5000000,6886,41407.0
10,8,0.5,0.2,100,5000000,6839,39331.0
10,9,0.5,0.2,100,5000000,6893,35843.0
10,10,0.5,0.2,100,5000000,6848,38664.0
10,11,0.5,0.2,100,5000000,6884,38743.0
10,12,0.5,0.2,100,5000000,6888,45629.0
10,13,0.5,0.2,100,5000000,6932,43908.0
10,14,0.5,0.2,100,5000000,7014,44473.0
10,15,0.5,0.2,100,5000000,6937,40390.0
10,16,0.5,0.2,100,5000000,6870,41682.0
10,17,0.5,0.2,100,5000000,6855,36642.0
10,18,0.5,0.2,100,5000000,6961,37825.0
10,19,0.5,0.2,100,5000000,7054,44658.0
11,0,0.5,0.2,150,5000100,7563,50993.0
11,1,0.5,0.2,150,5000100,7477,44618.0
11,2,0.5,0.2,150,5000100,7455,47142.0
11,3,0.5,0.2,150,5000100,7364,48374.0
11,4,0.5,0.2,150,5000100,7192,42532.0
11,5,0.5,0.2,150,5000100,7362,48301.0
11,6,0.5,0.2,150,5000100,7306,44307.0
11,7,0.5,0.2,150,5000100,7338,44265.0
11,8,0.5,0.2,150,5000100,7138,50003.0
11,9,0.5,0.2,150,5000100,7050,46016.0
11,10,0.5,0.2,150,5000100,7202,48357.0
11,11,0.5,0.2,150,5000100,7143,46586.0
11,12,0.5,0.2,150,5000100,7456,42814.0
11,13,0.5,0.2,150,5000100,7319,41634.0
11,14,0.5,0.2,150,5000100,7114,39533.0
11,15,0.5,0.2,150,5000100,7020,41497.0
11,16,0.5,0.2,150,5000100,7163,42962.0
11,17,0.5,0.2,150,5000100,7161,43422.0
11,18,0.5,0.2,150,5000100,6993,51824.0
11,19,0.5,0.2,150,5000100,6888,47330.0
12,0,0.5,0.2,200,5000000,7021,48972.0
12,1,0.5,0.2,200,5000000,7008,42922.0
12,2,0.5,0.2,200,5000000,7013,47579.0
12,3,0.5,0.2,200,5000000,7039,53539.0
12,4,0.5,0.2,200,5000000,7017,41437.0
12,5,0.5,0.2,200,5000000,7030,48495.0
12,6,0.5,0.2,200,5000000,7003,40559.0
12,7,0.5,0.2,200,5000000,6958,50338.0
12,8,0.5,0.2,200,5000000,6989,48470.0
12,9,0.5,0.2,200,5000000,6974,48675.0
12,10,0.5,0.2,200,5000000,6970,49403.0
12,11,0.5,0.2,200,5000000,6945,45241.0
12,12,0.5,0.2,200,5000000,6954,45731.0
12,13,0.5,0.2,200,5000000,6934,47566.0
12,14,0.5,0.2,200,5000000,6956,46059.0
12,15,0.5,0.2,200,5000000,6976,47759.0
12,16,0.5,0.2,200,5000000,6933,50450.0
12,17,0.5,0.2,200,5000000,6947,49340.0
12,18,0.5,0.2,200,5000000,6933,41721.0
12,19,0.5,0.2,200,5000000,6924,45208.0
13,0,0.5,0.3,50,5000000,6088,41623.0
13,1,0.5,0.3,50,5000000,6130,35256.0
13,2,0.5,0.3,50,5000000,6088,52502.0
13,3,0.5,0.3,50,5000000,6121,42602.0
13,4,0.5,0.3,50,5000000,6071,42169.0
13,5,0.5,0.3,50,5000000,6083,43771.0
13,6,0.5,0.3,50,5000000,6098,42282.0
13,7,0.5,0.3,50,5000000,6134,47542.0
13,8,0.5,0.3,50,5000000,6088,37239.0
13,9,0.5,0.3,50,5000000,6091,35489.0
13,10,0.5,0.3,50,5000000,6089,38027.0
13,11,0.5,0.3,50,5000000,6078,38644.0
13,12,0.5,0.3,50,5000000,6125,38447.0
13,13,0.5,0.3,50,5000000,6126,41361.0
13,14,0.5,0.3,50,5000000,6104,48756.0
13,15,0.5,0.3,50,5000000,6085,36554.0
13,16,0.5,0.3,50,5000000,6078,36256.0
13,17,0.5,0.3,50,5000000,6071,31667.0
13,18,0.5,0.3,50,5000000,6077,39397.0
13,19,0.5,0.3,50,5000000,6129,34242.0
14,0,0.5,0.3,100,5000000,6585,42039.0
14,1,0.5,0.3,100,5000000,6552,40674.0
14,2,0.5,0.3,100,5000000,6579,40198.0
14,3,0.5,0.3,100,5000000,6555,38990.0
14,4,0.5,0.3,100,5000000,6557,45543.0
14,5,0.5,0.3,100,5000000,6594,41743.0
14,6,0.5,0.3,100,5000000,6575,40266.0
14,7,0.5,0.3,100,5000000,6584,38612.0
14,8,0.5,0.3,100,5000000,6560,36764.0
14,9,0.5,0.3,100,5000000,6561,42767.0
14,10,0.5,0.3,100,5000000,6584,35684.0
14,11,0.5,0.3,100,5000000,6577,45322.0
14,12,0.5,0.3,100,5000000,6611,38714.0
14,13,0.5,0.3,100,5000000,6577,42071.0
14,14,0.5,0.3,100,5000000,6541,45136.0
14,15,0.5,0.3,100,5000000,6547,38374.0
14,16,0.5,0.3,100,5000000,6564,41894.0
14,17,0.5,0.3,100,5000000,6565,33565.0
14,18,0.5,0.3,100,5000000,6573,42759.0
14,19,0.5,0.3,100,5000000,6563,39895.0
15,0,0.5,0.3,150,5000100,6869,38710.0
15,1,0.5,0.3,150,5000100,6892,43386.0
15,2,0.5,0.3,150,5000100,6871,44778.0
15,3,0.5,0.3,150,5000100,6875,41623.0
15,4,0.5,0.3,150,5000100,6887,42668.0
15,5,0.5,0.3,150,5000100,6877,44098.0
15,6,0.5,0.3,150,5000100,6856,39680.0
15,7,0.5,0.3,150,5000100,6855,42159.0
15,8,0.5,0.3,150,5000100,6864,48919.0
15,9,0.5,0.3,150,5000100,6892,51081.0
15,10,0.5,0.3,150,5000100,6890,47301.0
15,11,0.5,0.3,150,5000100,6851,42700.0
15,12,0.5,0.3,150,5000100,6860,44396.0
15,13,0.5,0.3,150,5000100,6837,41596.0
15,14,0.5,0.3,150,5000100,6873,49557.0
15,15,0.5,0.3,150,5000100,6915,43103.0
15,16,0.5,0.3,150,5000100,6884,46013.0
15,17,0.5,0.3,150,5000100,6860,46180.0
15,18,0.5,0.3,150,5000100,6850,50827.0
15,19,0.5,0.3,150,5000100,6849,39032.0
16,0,0.5,0.3,200,5000000,6952,48862.0
16,1,0.5,0.3,200,5000000,6987,42752.0
16,2,0.5,0.3,200,5000000,6959,40089.0
16,3,0.5,0.3,200,5000000,6979,37181.0
16,4,0.5,0.3,200,5000000,7008,40566.0
16,5,0.5,0.3,200,5000000,6948,41900.0
16,6,0.5,0.3,200,5000000,7031,43982.0
16,7,0.5,0.3,200,5000000,7084,45093.0
16,8,0.5,0.3,200,5000000,6989,48846.0
16,9,0.5,0.3,200,5000000,6982,45907.0
16,10,0.5,0.3,200,5000000,6974,45688.0
16,11,0.5,0.3,200,5000000,6957,53920.0
16,12,0.5,0.3,200,5000000,6956,43933.0
16,13,0.5,0.3,200,5000000,6978,45372.0
16,14,0.5,0.3,200,5000000,6976,40955.0
16,15,0.5,0.3,200,5000000,6976,44796.0
16,16,0.5,0.3,200,5000000,6999,47243.0
16,17,0.5,0.3,200,5000000,6947,46899.0
