algorithm,CUT,criterion,Size,Length,MutationScore,Coverage,Covered_Goals,Total_Goals,Total_Time,BranchCoverage,BZUTestExecutionTime
M_IBEA,org.apache.commons.math3.linear.RectangularCholeskyDecomposition,BRANCH;BZU_TIME;BZU_LENGTH,6,29,0.685534591,1,33,33,5874,1,49
M_IBEA,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,BRANCH;BZU_TIME;BZU_LENGTH,18,77,0,0.9,58,82,611237,0.7,23
M_IBEA,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,BRANCH;BZU_TIME;BZU_LENGTH,18,85,0.358974359,0.994350282,60,61,610881,0.983050847,8
M_IBEA,org.apache.commons.math3.linear.MatrixUtils,BRANCH;BZU_TIME;BZU_LENGTH,51,206,0.260135135,0.974842767,149,161,646216,0.924528302,124
M_IBEA,org.apache.commons.math3.dfp.DfpDec,BRANCH;BZU_TIME;BZU_LENGTH,8,13,0,0.685990338,10,140,603570,0.057971014,2
M_IBEA,org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,BRANCH;BZU_TIME;BZU_LENGTH,12,43,0.288732394,0.833333333,35,68,607784,0.5,4
M_IBEA,org.apache.commons.math3.analysis.FunctionUtils,BRANCH;BZU_TIME;BZU_LENGTH,12,24,0.081481481,0.730360934,32,159,607358,0.191082803,15
M_IBEA,org.apache.commons.math3.optim.univariate.BrentOptimizer,BRANCH;BZU_TIME;BZU_LENGTH,4,7,0,0.697777778,9,77,602785,0.093333333,32
M_IBEA,org.apache.commons.math3.linear.SchurTransformer,BRANCH;BZU_TIME;BZU_LENGTH,7,40,0.172619048,0.971014493,86,94,614834,0.913043478,79
M_IBEA,com.google.common.math.BigIntegerMath,BRANCH;BZU_TIME;BZU_LENGTH,35,100,0.545146727,0.977443609,126,135,673050,0.932330827,256
M_IBEA,com.google.common.cache.CacheBuilderSpec,BRANCH;BZU_TIME;BZU_LENGTH,52,210,0.327365729,0.985815603,137,143,615834,0.957446809,11
M_IBEA,com.google.common.util.concurrent.Monitor,BRANCH;BZU_TIME;BZU_LENGTH,14,35,0.010204082,0.701570681,22,193,604999,0.104712042,3
M_IBEA,com.google.common.base.Utf8,BRANCH;BZU_TIME;BZU_LENGTH,20,74,0.360465116,0.936507937,53,65,605528,0.80952381,14
M_IBEA,org.jdom2.output.SAXOutputter,BRANCH;BZU_TIME;BZU_LENGTH,51,186,0.505154639,0.992592593,90,92,613472,0.977777778,27
M_IBEA,org.jdom2.output.XMLOutputter,BRANCH;BZU_TIME;BZU_LENGTH,30,105,0.823529412,0.983870968,61,64,609744,0.951612903,9
M_IBEA,org.jdom2.Verifier,BRANCH;BZU_TIME;BZU_LENGTH,79,171,0.444844989,0.953068592,240,279,617701,0.859205776,11
M_IBEA,org.joda.time.format.PeriodFormatterBuilder,BRANCH;BZU_TIME;BZU_LENGTH,109,662,0.401880878,0.956246402,505,581,669629,0.868739206,48
M_IBEA,org.joda.time.base.BasePeriod,BRANCH;BZU_TIME;BZU_LENGTH,28,97,0.342105263,0.983122363,77,81,614149,0.949367089,16
M_IBEA,org.joda.time.chrono.BasicMonthOfYearDateTimeField,BRANCH;BZU_TIME;BZU_LENGTH,24,107,0.749070632,0.994708995,64,65,614339,0.984126984,13
M_IBEA,org.joda.time.chrono.LimitChronology,BRANCH;BZU_TIME;BZU_LENGTH,28,139,0.19218241,0.916666667,85,114,615424,0.741071429,16
M_IBEA,JSci.maths.symbolic.SimpleCharStream,BRANCH;BZU_TIME;BZU_LENGTH,30,71,0.077709611,0.968253968,78,86,617865,0.904761905,7
M_IBEA,JSci.maths.SpecialMath,BRANCH;BZU_TIME;BZU_LENGTH,31,89,0.231402003,0.960884354,175,198,640323,0.882653061,38
M_IBEA,JSci.maths.LinearMath,BRANCH;BZU_TIME;BZU_LENGTH,18,75,0.188505747,0.954198473,228,264,642107,0.86259542,84
M_IBEA,org.tartarus.snowball.ext.turkishStemmer,BRANCH;BZU_TIME;BZU_LENGTH,34,88,0.176578786,0.883916991,337,516,614295,0.651750973,54
M_IBEA,org.tartarus.snowball.ext.italianStemmer,BRANCH;BZU_TIME;BZU_LENGTH,25,63,0.197492163,0.887426901,153,230,607331,0.662280702,24
M_IBEA,org.tartarus.snowball.ext.englishStemmer,BRANCH;BZU_TIME;BZU_LENGTH,44,107,0.139065817,0.937931034,238,292,609661,0.813793103,17
M_IBEA,gnu.trove.decorator.TDoubleShortMapDecorator,BRANCH;BZU_TIME;BZU_LENGTH,21,92,0.348623853,0.909090909,58,79,604906,0.727272727,11
M_IBEA,gnu.trove.decorator.TShortByteMapDecorator,BRANCH;BZU_TIME;BZU_LENGTH,20,84,0.380165289,0.909090909,58,79,605474,0.727272727,7
M_IBEA,gnu.trove.impl.hash.TCharHash,BRANCH;BZU_TIME;BZU_LENGTH,14,60,0.350580781,0.983333333,59,62,650700,0.95,35
M_IBEA,gnu.trove.impl.hash.TFloatCharHash,BRANCH;BZU_TIME;BZU_LENGTH,15,77,0.245114007,0.888888889,60,89,614425,0.666666667,11
M_IBEA,gnu.trove.impl.hash.TFloatDoubleHash,BRANCH;BZU_TIME;BZU_LENGTH,17,81,0.29488221,0.888888889,60,89,617777,0.666666667,9
M_IBEA,org.znerd.xmlenc.XMLChecker,BRANCH;BZU_TIME;BZU_LENGTH,25,29,0.1315644,0.781258588,419,1215,616198,0.343775763,11
M_IBEA,org.znerd.xmlenc.XMLEncoder,BRANCH;BZU_TIME;BZU_LENGTH,50,153,0.622931442,0.978021978,172,184,608018,0.934065934,11
M_IBEA,com.ib.client.ExecutionFilter,BRANCH;BZU_TIME;BZU_LENGTH,9,31,0.434285714,1,22,22,6499,1,1
M_IBEA,com.ib.client.OrderState,BRANCH;BZU_TIME;BZU_LENGTH,10,34,0.327777778,1,24,24,5700,1,4
M_IBEA,com.ib.client.ComboLeg,BRANCH;BZU_TIME;BZU_LENGTH,8,26,0.484848485,1,22,23,5761,0.952380952,0
M_IBEA,org.apache.commons.cli.HelpFormatter,BRANCH;BZU_TIME;BZU_LENGTH,34,110,0.156565657,0.976851852,136,146,684942,0.930555556,96
M_IBEA,org.apache.commons.cli.Option,BRANCH;BZU_TIME;BZU_LENGTH,47,120,0.596837945,1,100,100,24261,1,3
M_IBEA,org.apache.commons.collections4.list.TreeList,BRANCH;BZU_TIME;BZU_LENGTH,25,161,0.364027539,0.9847793,211,221,610943,0.9543379,27
M_IBEA,org.apache.commons.collections4.sequence.SequencesComparator,BRANCH;BZU_TIME;BZU_LENGTH,5,49,0.302439024,0.988764045,87,91,612835,0.95505618,7
M_IBEA,org.apache.commons.lang3.ClassUtils,BRANCH;BZU_TIME;BZU_LENGTH,80,151,0.580792683,0.928571429,211,268,613022,0.785714286,19
M_IBEA,org.apache.commons.lang3.ArrayUtils,BRANCH;BZU_TIME;BZU_LENGTH,312,707,0.566440349,0.944969905,974,1165,644271,0.835769561,15
M_IBEA,org.apache.commons.lang3.text.StrBuilder,BRANCH;BZU_TIME;BZU_LENGTH,241,695,0.368668407,0.994906621,582,591,658584,0.984719864,162
M_IBEA,org.apache.commons.lang3.time.DateUtils,BRANCH;BZU_TIME;BZU_LENGTH,108,266,0.467494522,0.993288591,294,300,706480,0.979865772,19
M_IBEA,org.apache.commons.lang3.BooleanUtils,BRANCH;BZU_TIME;BZU_LENGTH,115,208,0.654631083,0.969811321,244,267,612937,0.913207547,52
M_IBEA,org.apache.commons.lang3.Conversion,BRANCH;BZU_TIME;BZU_LENGTH,228,409,0.229972376,0.933682373,612,766,637190,0.798429319,75
M_IBEA,org.apache.commons.math3.linear.RectangularCholeskyDecomposition,BRANCH;BZU_TIME;BZU_LENGTH,6,29,0.672955975,1,33,33,7021,1,6
M_IBEA,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,BRANCH;BZU_TIME;BZU_LENGTH,24,138,0.131782946,0.9625,73,82,615440,0.8875,52
M_IBEA,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,BRANCH;BZU_TIME;BZU_LENGTH,16,97,0.245014245,0.994350282,60,61,609207,0.983050847,235
M_IBEA,org.apache.commons.math3.linear.MatrixUtils,BRANCH;BZU_TIME;BZU_LENGTH,56,220,0.239864865,0.972746331,148,161,641722,0.918238994,224
M_IBEA,org.apache.commons.math3.dfp.DfpDec,BRANCH;BZU_TIME;BZU_LENGTH,9,11,0,0.685990338,10,140,603466,0.057971014,4
M_IBEA,org.apache.commons.math3.analysis.FunctionUtils,BRANCH;BZU_TIME;BZU_LENGTH,12,37,0.077777778,0.736730361,35,159,608900,0.210191083,20
M_IBEA,org.apache.commons.math3.optim.univariate.BrentOptimizer,BRANCH;BZU_TIME;BZU_LENGTH,3,35,0,0.697777778,9,77,602694,0.093333333,2
M_IBEA,org.apache.commons.math3.linear.SchurTransformer,BRANCH;BZU_TIME;BZU_LENGTH,7,73,0.202380952,0.971014493,86,94,615579,0.913043478,51
M_IBEA,com.google.common.math.BigIntegerMath,BRANCH;BZU_TIME;BZU_LENGTH,34,113,0.557562077,0.977443609,126,135,623357,0.932330827,62
M_IBEA,com.google.common.cache.CacheBuilderSpec,BRANCH;BZU_TIME;BZU_LENGTH,52,196,0.25831202,0.978723404,133,143,617153,0.929078014,7
M_IBEA,com.google.common.util.concurrent.Monitor,BRANCH;BZU_TIME;BZU_LENGTH,13,41,0.010204082,0.701570681,22,193,603994,0.104712042,8
M_IBEA,com.google.common.base.Utf8,BRANCH;BZU_TIME;BZU_LENGTH,20,73,0.425249169,0.973544974,60,65,606242,0.920634921,11
M_IBEA,org.jdom2.output.SAXOutputter,BRANCH;BZU_TIME;BZU_LENGTH,52,189,0.567010309,0.992592593,90,92,612985,0.977777778,7
M_IBEA,org.jdom2.output.XMLOutputter,BRANCH;BZU_TIME;BZU_LENGTH,30,107,0.823529412,0.983870968,61,64,609531,0.951612903,11
M_IBEA,org.jdom2.Verifier,BRANCH;BZU_TIME;BZU_LENGTH,73,159,0.451333814,0.939831528,229,279,616843,0.819494585,13
M_IBEA,org.joda.time.format.PeriodFormatterBuilder,BRANCH;BZU_TIME;BZU_LENGTH,104,671,0.443260188,0.970063328,528,581,655934,0.908462867,50
M_IBEA,org.joda.time.base.BasePeriod,BRANCH;BZU_TIME;BZU_LENGTH,26,86,0.5,0.974683544,75,81,614321,0.924050633,8
M_IBEA,org.joda.time.chrono.BasicMonthOfYearDateTimeField,BRANCH;BZU_TIME;BZU_LENGTH,25,117,0.708178439,0.994708995,63,65,614629,0.968253968,4
M_IBEA,org.joda.time.chrono.LimitChronology,BRANCH;BZU_TIME;BZU_LENGTH,27,140,0.169381107,0.916666667,85,114,615880,0.741071429,19
M_IBEA,JSci.maths.symbolic.SimpleCharStream,BRANCH;BZU_TIME;BZU_LENGTH,35,105,0.081799591,0.992063492,84,86,609607,0.976190476,16
M_IBEA,JSci.maths.SpecialMath,BRANCH;BZU_TIME;BZU_LENGTH,33,89,0.310801144,0.955782313,171,198,614177,0.862244898,7
M_IBEA,JSci.maths.LinearMath,BRANCH;BZU_TIME;BZU_LENGTH,19,65,0.165517241,0.889312977,177,264,623564,0.667938931,70
M_IBEA,org.tartarus.snowball.ext.turkishStemmer,BRANCH;BZU_TIME;BZU_LENGTH,23,58,0.161863887,0.869649805,315,516,613354,0.608949416,77
M_IBEA,org.tartarus.snowball.ext.italianStemmer,BRANCH;BZU_TIME;BZU_LENGTH,26,66,0.195924765,0.888888889,154,230,607860,0.666666667,23
M_IBEA,org.tartarus.snowball.ext.englishStemmer,BRANCH;BZU_TIME;BZU_LENGTH,41,100,0.138004246,0.936781609,236,292,609382,0.806896552,15
M_IBEA,gnu.trove.decorator.TDoubleShortMapDecorator,BRANCH;BZU_TIME;BZU_LENGTH,15,76,0.348623853,0.909090909,58,79,604959,0.727272727,10
